yapi_id,ad_standart,sorgu,lon_wgs84,lat_wgs84,osm_display,osm_class,osm_type,konum_guven,hata_yaricapi_m,kaynak,durum,wiki_baslik,wiki_lat,wiki_lon,osm_wiki_uyum_m,capraz_guven,onerilen_hata_m
T01,Namazgah Tabyasi,"Namazgah Tabyası, Çanakkale",26.3799513,40.1449859,"Namazgah Tabyası, Çarşı Caddesi, Kilitbahir, Eceabat, Çanakkale, Marmara Bölgesi, 17910, Türkiye",historic,battlefield,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T02,Hamidiye Tabyasi (Avrupa),"Hamidiye Tabyası, Eceabat",,,,,,dusuk,1000,BULUNAMADI (Nominatim); [18]+donem haritasi gerekli,aday_yok,,,,,dusuk,1000
T03,Mecidiye Tabyasi,"Mecidiye Tabyası, Çanakkale",26.3738979,40.1411387,"Rumeli Mecidiye Tabyası, Kilitbahir - Alçıtepe Yolu, Alçıtepe Köyü, Eceabat, Çanakkale, Marmara Bölgesi, 17100, Türkiye",historic,battlefield,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T04,Anadolu Hamidiyesi,"Anadolu Hamidiye Tabyası, Çanakkale",26.4027811,40.1374979,"Anadolu Hamidiye Tabyası, Barbaros, Barbaros Mahallesi, Çanakkale Merkez, Çanakkale, Marmara Bölgesi, Türkiye",leisure,park,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T05,Orhaniye Tabyasi,"Orhaniye Tabyası, Çanakkale",26.1862048,39.9926267,"Orhaniye Tabyası, Seddülbahir Küme Evler, Seddülbahir Köyü, Eceabat, Çanakkale, Marmara Bölgesi, Türkiye",historic,fort,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T06,Kumkale Kalesi,"Kumkale Kalesi, Çanakkale",,,,,,dusuk,1000,BULUNAMADI (Nominatim); [18]+donem haritasi gerekli,aday_yok,,,,,dusuk,1000
T07,Seddulbahir Kalesi,"Seddülbahir Kalesi, Eceabat",26.1877943,40.0419593,"Seddülbahir Kalesi, Seddülbahir Küme Evler, Seddülbahir Köyü, Eceabat, Çanakkale, Marmara Bölgesi, Türkiye",historic,archaeological_site,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T08,Kilitbahir Kalesi,"Kilitbahir Kalesi, Eceabat",26.3792553,40.1477743,"Kilitbahir Kalesi, Kilitbahir - Alçıtepe Yolu, Alçıtepe Köyü, Eceabat, Çanakkale, Marmara Bölgesi, 17100, Türkiye",building,ruins,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T09,Cimenlik Kalesi,"Çimenlik Kalesi, Çanakkale",26.3990884,40.1463382,"Çimenlik Kalesi, Talimhane Sokak, Fevzipaşa, Fevzipaşa Mahallesi, Çanakkale Merkez, Çanakkale, Marmara Bölgesi, 17000, Türkiye",historic,castle,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
T10,Nara Burnu,"Nara Burnu, Çanakkale",26.4012274,40.1963301,"Nara Burnu, Çanakkale Merkez, Çanakkale, Marmara Bölgesi, 17900, Türkiye",natural,cape,dusuk,1000,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",aday_taslak,,,,,dusuk,1000
