yapi_id,ad_standart,ad_varyantlari,kiyi,islev,evre,tarih_bas,tarih_bit,tarih_guven,kaynak,ozgun_geometri,lon_wgs84,lat_wgs84,konum_guven,hata_yaricapi_m,durum,not
T01,Namazgah Tabyasi,Namazgah; Namazgâh,Avrupa,kiyi_tabyasi,kullanim_1915,1868,1915,orta,[2] Acıoğlu 2016; [18] Alan Bşk. (dogrulanacak),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T02,Hamidiye Tabyasi (Avrupa),Hamidiye,Avrupa,kiyi_tabyasi,kullanim_1915,1890,1915,orta,[2]; [18] (dogrulanacak),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T03,Mecidiye Tabyasi,Mecidiye,Avrupa,kiyi_tabyasi,kullanim_1915,1890,1915,orta,[2]; [18] (dogrulanacak),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T04,Anadolu Hamidiyesi,Hamidiye (Anadolu),Anadolu,kiyi_tabyasi,kullanim_1915,1890,1915,orta,[2]; [18] (dogrulanacak),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T05,Orhaniye Tabyasi,Orhaniye,Anadolu,kiyi_tabyasi,kullanim_1915,1880,1915,dusuk,[2]; [18] (dogrulanacak),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T06,Kumkale Kalesi (kale grubu),Kumkale,Anadolu,kale,ilk_insa,1659,1915,orta,[1] Acıoğlu 2015 (ayri karsilastirma grubu),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T07,Seddulbahir Kalesi (kale grubu),Seddülbahir,Avrupa,kale,ilk_insa,1659,1915,orta,[1] (ayri karsilastirma grubu),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T08,Kilitbahir Kalesi (kale grubu),Kilitbahir; Kilidülbahir,Avrupa,kale,ilk_insa,1462,1915,orta,[1] (ayri karsilastirma grubu),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T09,Cimenlik Kalesi (kale grubu),Çimenlik; Kale-i Sultaniye,Anadolu,kale,ilk_insa,1462,1915,orta,[1] (ayri karsilastirma grubu),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T10,Nara Burnu mevzii (belgesel kayit),Nara,Anadolu,mevzi,kullanim_1915,1915,1915,dusuk,[21] DVA haritalari (bolgesel kapsam kontrolu); [3],nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T11,Domuzdere / kuzey kiyi mevzileri,—,Avrupa,mevzi,kullanim_1915,1915,1915,dusuk,[21]; [3] (kapsam disi kalabilir),nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
T12,Kayip/yeniden-yapilan yapi ORNEGI,—,belirlenecek,yapi_evresi,ilk_insa,,,dusuk,"[1,2] ad-degisimine ornek satir; korunma yanliligi icin tutulur",nokta,,,dusuk,1000,dogrulanacak,"On-envanter: koordinat bos; [18]+donem haritasi+[1,2] ile dogrulanacak."
