kayit_id,cba_id,ad_standart,lon_wgs84,lat_wgs84,grup,donem,kaynak_url,erisim,konum_turu,ozgun_oturum_dogrulandi,konum_guven,hata_yaricapi_m,osm_capraz_m,capraz_bayrak,not
R01,T01,Namazgâh Tabyası,26.379579,40.145371,cok_evreli_tabya,Baron de Tott ile ilişkilendirilen başlangıç; sonraki ekler,https://www.canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/namazgah-tabyasi,2026-09-16,kurumsal_ziyaret_referansi,False,orta,500,53.2,,İlk evreye ilişkin kurumsal ve mimari yorumlar ayrı tutulur; 1892 ek evresi literatürde kayıtlıdır.
R02,T02,Rumeli Mecidiye Tabyası,26.37561,40.141532,gec_donem_tabya,II. Abdülhamit dönemi,https://www.canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/rumeli-mecidiye-tabyasi-ve-sehitligi,2026-09-16,kurumsal_ziyaret_referansi,False,orta,500,152.0,,Tabya ve şehitlik aynı kurumsal sayfada; koordinatın özgün platformla ilişkisi belirsiz.
R03,T03,Rumeli Hamidiye Tabyası,26.377707,40.142829,gec_donem_tabya,II. Abdülhamit dönemi,https://www.canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/rumeli-hamidiye-tabyasi,2026-09-16,kurumsal_ziyaret_referansi,False,orta,500,,,Özgün yapı ayak izi ve evre ayrımı doğrulanmalı; kurum ziyarete kapalı olduğunu belirtiyor.
R04,T04,Anadolu Hamidiye Tabyası,26.404352,40.138566,gec_donem_tabya,1890’ların başı,https://www.canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/anadolu-hamidiye-tabyasi,2026-09-16,kurumsal_ziyaret_referansi,False,orta,500,178.7,,2018 restorasyonu ve güncel rekreasyon çevresi var; özgün oturum doğrulanmalı.
RK1,K01,Kilitbahir Kalesi,26.380381,40.146554,erken_kale_referansi,"1462–1463; 1541, 1870, 1893–1894 müdahaleleri",https://www.canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/kilitbahir-kalesi,2026-09-16,kurumsal_ziyaret_referansi,False,orta,500,166.0,,Kale ayrı dönem grubudur; kıyı tabyalarıyla aynı seçim olayı sayılmaz.
R05,T05,Değirmenburnu Tabyası,26.376806,40.157252,cok_evreli_tabya,İlk evre ayrı; 1889 çeşme ve 1893 kışla evreleri literatürde belirtilir.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/degirmenburnu-tabyasi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
R06,T06,Ertuğrul Tabyası,26.181868,40.045912,gec_donem_tabya,II. Abdülhamit dönemi; kayıp kitabe.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/ertugrul-tabyasi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
R07,T07,Çamburnu Kakavan Tabyası,26.36969131855585,40.16566782353448,gec_donem_tabya,Kurum 1888–1889 tarihini verir.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/camburnu-kakavan-tabyasi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
RK2,K02,Seddülbahir Kalesi,26.188885,40.042881,17yy_kale,1659; sonraki kullanım evreleri ayrıca ayrılmalı.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/seddulbahir-kalesi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,138.3,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
RK3,K03,Bigalı Kalesi,26.38813,40.212935,19yy_kale,III. Selim–II. Mahmud; 1915 tamirhane işlevi.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/bigali-kalesi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
RK4,K04,Çamburnu Kalesi,26.367657,40.170717,19yy_kale,III. Selim–II. Mahmud; 1915 sağlık/depo işlevi.,https://canakkaletarihialan.gov.tr/tr/ziyaret/kaleler-ve-tabyalar/camburnu-kalesi,2026-09-17,kurumsal_ziyaret_referansi,False,orta,500,,,Kurumsal ziyaret referansı; özgün platform doğrulanmadı.
