ad,historic,military,lat,lon,osm_id
The Apex,battlefield,,40.2513665,26.304659,node/2611772822
Browns Dip,battlefield,,40.2314932,26.2848873,node/2611893799
Dead Man's Field,battlefield,,40.2306816,26.2887123,node/2611893801
Hell Spit,battlefield,,40.2327802,26.2761329,node/2611893803
Lonesome Pine,battlefield,,40.2293329,26.2895025,node/2611893805
Sappers Post,battlefield,,40.223654,26.2797402,node/2611893809
Chatham's Post,battlefield,,40.2226651,26.2793164,node/2618222373
Fisherman's Hut,battlefield,,40.2482365,26.2833833,node/2618222375
Çimpe Kalesi,castle,,40.4964979,26.7342384,node/4353187835
Akbaş Kalesi,castle,,40.2320529,26.4376742,node/4855762130
heavy gun,,bunker,40.0001611,26.2605429,node/7076730931
heavy gun,,bunker,40.0005936,26.2595987,node/7076730932
Albayrak Sırtı,battlefield,,40.2168142,26.2829265,node/12187015722
Süleyman Reis ( Morto ) Deresi,battlefield,,40.0526876,26.2137192,node/12187047336
Kudsi Bey Tepesi,battlefield,,40.0726575,26.2299192,node/12187047349
Çamlıtekke Anafartalar Grup Komutanlığı Karargâhı,battlefield,,40.291694,26.3504688,node/12187201671
Atatürk'ün Gözetleme Yeri,battlefield,,40.2527415,26.307896,node/12187302642
Kırmızı Sırt 125. Alay Siperleri,battlefield,,40.2329984,26.2874588,node/12187326430
Kemalyeri,battlefield,,40.235285,26.3047076,node/12187988043
Düz Tepe 10. Alay Cephesi,battlefield,,40.2459306,26.2991403,node/12187988047
Siperler,battlefield,,40.2461199,26.2996944,node/12187988048
Adana Bayırı,battlefield,,40.2338606,26.3039356,node/12187988054
Sarıtepe Şehitliği,battlefield,,40.095281,26.2091129,node/12189480441
,,bunker,40.6028379,26.8359974,node/12551012119
,,bunker,40.603364,26.836397,node/12551012120
,,bunker,40.6017096,26.8362117,node/12551012121
,,bunker,40.6010272,26.8363596,node/12551012122
,,bunker,40.6011922,26.8566388,node/12551012123
Korugan,yes,bunker,40.4914066,26.7340292,node/12757733838
Korugan,yes,bunker,40.4908671,26.7343698,node/12757733839
Korugan,yes,bunker,40.4903153,26.734622,node/12757733840
Korugan,yes,bunker,40.4865567,26.7283724,node/12757733841
Korugan,yes,bunker,40.486724,26.7279473,node/12757733842
Korugan,yes,bunker,40.4954137,26.7023724,node/12757733851
Korugan,yes,bunker,40.4951139,26.7025951,node/12757733852
Korugan,yes,bunker,40.4948936,26.7029545,node/12757733853
Korugan,yes,bunker,40.4946131,26.7033246,node/12757733854
Korugan,yes,bunker,40.4949752,26.7275691,node/12757733855
Korugan,yes,bunker,40.495071,26.7268677,node/12757733856
Korugan,yes,bunker,40.4949721,26.7261314,node/12757733857
Korugan,yes,bunker,40.4950119,26.71161,node/12757733858
Korugan,yes,bunker,40.4952536,26.7113498,node/12757733859
Korugan,yes,bunker,40.495428,26.7110306,node/12757733860
Korugan,yes,bunker,40.4955126,26.7105183,node/12757733861
Korugan,yes,bunker,40.5007677,26.7102474,node/12757733862
Korugan,yes,bunker,40.5011491,26.7100328,node/12757733863
Korugan,yes,bunker,40.5014163,26.7096359,node/12757733864
Korugan,yes,bunker,40.5095066,26.7218614,node/12757733865
Korugan,yes,bunker,40.5167202,26.7468984,node/12757733869
Korugan,yes,bunker,40.5146209,26.744054,node/12757733870
Korugan,yes,bunker,40.5138185,26.7368267,node/12757733871
Korugan,yes,bunker,40.5131813,26.7409801,node/12757733872
Korugan,yes,bunker,40.5115183,26.7473879,node/12757733877
Korugan,yes,bunker,40.5122504,26.7458913,node/12757733878
Korugan,yes,bunker,40.510903,26.7270783,node/12757733879
Korugan,yes,bunker,40.4960736,26.7302781,node/12757733891
Korugan,yes,bunker,40.4985874,26.7326733,node/12757733892
Korugan,yes,bunker,40.5014489,26.7367181,node/12757733893
Korugan,yes,bunker,40.5010604,26.737044,node/12757733894
Korugan,yes,bunker,40.5045408,26.7375496,node/12757733895
Korugan,yes,bunker,40.5041951,26.7375094,node/12757733896
Korugan,yes,bunker,40.5054045,26.7387941,node/12757733897
Korugan,yes,bunker,40.5059439,26.7393266,node/12757733898
Korugan,yes,bunker,40.5066556,26.7442095,node/12757733899
Korugan,yes,bunker,40.5079343,26.743834,node/12757733900
Çimenlik Kalesi,castle,,40.1463739,26.399107,way/235113134
,castle,,40.1463268,26.399213,way/261912752
Namazgah Tabyası,battlefield,,40.1451009,26.3796745,way/333582249
Çamburnu Kalesi,castle,,40.170285,26.3677706,way/463469351
Sarı Kule,castle,,40.1466478,26.3802938,way/500237751
Seddülbahir Kalesi,castle,,40.0423848,26.1876363,way/844800281
Seddülbahir Kalesi,castle,,40.0413851,26.1886789,way/844800282
Karaincirli Gözetleme Kulesi,castle,,40.5954964,26.3270823,way/1026113981
Orhaniye Tabyası,fort,,39.9925958,26.1860813,way/1135419612
Rumeli Mecidiye Tabyası,battlefield,,40.141096,26.3735174,way/1316767903
Çamburnu Kakavan Tabyası,battlefield,,40.16539,26.3694639,way/1316816753
Top Mevzileri,battlefield,,40.301158,26.3205683,way/1316816755
Değirmen Burnu Tabyası,battlefield,,40.1556631,26.3765424,way/1316826216
