km,lon,lat,genislik_m
0.0,26.2449,40.025,8070
1.0,26.2531,40.0314,7320
2.0,26.2614,40.0378,7620
3.0,26.2696,40.0442,7530
4.0,26.2779,40.0506,8160
5.0,26.2861,40.057,7620
6.0,26.2944,40.0634,7260
7.0,26.3026,40.0698,6270
8.0,26.3109,40.0762,6090
9.0,26.3191,40.0826,5670
10.0,26.3274,40.089,5280
11.0,26.3357,40.0954,4320
12.0,26.3439,40.1018,3810
13.0,26.3522,40.1082,3060
14.0,26.3605,40.1146,3600
15.0,26.3687,40.1209,4380
16.0,26.377,40.1273,4110
17.0,26.3853,40.1337,3900
18.0,26.3884,40.1418,1770
19.0,26.3885,40.1508,1950
20.0,26.3886,40.1598,2730
21.0,26.3887,40.1688,2730
22.0,26.3888,40.1778,3660
23.0,26.3888,40.1868,3990
24.0,26.3909,40.1952,3600
25.0,26.3994,40.2014,2130
26.0,26.4078,40.2076,2700
27.0,26.4192,40.2088,2340
28.0,26.4309,40.2092,3870
29.0,26.4416,40.2123,4350
30.0,26.4517,40.2168,4050
31.0,26.463,40.2189,4320
32.0,26.4735,40.223,5250
33.0,26.4819,40.2292,4980
34.0,26.4902,40.2356,5310
35.0,26.4984,40.242,5520
36.0,26.5067,40.2484,5370
37.0,26.515,40.2548,5790
38.0,26.5232,40.2612,5640
39.0,26.5315,40.2676,5160
40.0,26.5398,40.274,5010
41.0,26.5481,40.2804,4560
42.0,26.5563,40.2868,3900
43.0,26.5661,40.2917,3570
44.0,26.576,40.2963,4320
45.0,26.5842,40.3027,4680
46.0,26.5925,40.3091,4500
47.0,26.6008,40.3155,4260
48.0,26.6091,40.3219,4110
49.0,26.6174,40.3283,3900
50.0,26.6257,40.3347,3840
51.0,26.634,40.3411,3690
52.0,26.6423,40.3475,4200
53.0,26.6506,40.3539,4830
54.0,26.6588,40.3603,6210
55.0,26.6606,40.369,5580
56.0,26.6674,40.3759,6270
57.0,26.6756,40.3824,5850
58.0,26.6838,40.3889,5640
59.0,26.692,40.3953,3420
60.0,26.7002,40.4018,5190
61.0,26.7085,40.4082,4980
