kaynak,hedef,gorus_var
T01,T03,False
T01,T04,False
T01,T05,False
T01,T07,False
T01,T08,False
T01,T09,False
T01,T10,True
T03,T01,False
T03,T04,False
T03,T05,False
T03,T07,False
T03,T08,False
T03,T09,False
T03,T10,False
T04,T01,False
T04,T03,False
T04,T05,False
T04,T07,False
T04,T08,False
T04,T09,False
T04,T10,False
T05,T01,False
T05,T03,False
T05,T04,False
T05,T07,False
T05,T08,False
T05,T09,False
T05,T10,False
T07,T01,False
T07,T03,False
T07,T04,False
T07,T05,False
T07,T08,False
T07,T09,False
T07,T10,False
T08,T01,False
T08,T03,False
T08,T04,False
T08,T05,False
T08,T07,False
T08,T09,False
T08,T10,True
T09,T01,False
T09,T03,False
T09,T04,False
T09,T05,False
T09,T07,False
T09,T08,False
T09,T10,True
T10,T01,False
T10,T03,False
T10,T04,False
T10,T05,False
T10,T07,False
T10,T08,False
T10,T09,False
