kayit_id,ad_standart,grup,x_32635,y_32635,oturtma_m,fV,R,egim,fR,fS,fE,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,U_drop_R,kararlilik,okuma_sinifi,fV_h2,fV_h10,fV_aralik_h
R01,Namazgâh Tabyası,cok_evreli_tabya,447135.0,4444095.0,0.0,0.0,-24.15,7.15,0.1316,0.914,0.9991,0.3486,0.2223,0.3137,0.457,0.0,dusuk/degisken,0.0,0.0,0.0
R02,Rumeli Mecidiye Tabyası,gec_donem_tabya,446805.0,4443675.0,0.0,0.0,-23.29,8.2,0.1439,0.8721,0.9987,0.3387,0.2176,0.3048,0.436,0.0,dusuk/degisken,0.0,0.0,0.0
R03,Rumeli Hamidiye Tabyası,gec_donem_tabya,446985.0,4443825.0,0.0,0.0,-16.82,4.09,0.2366,1.0,0.9987,0.4123,0.271,0.371,0.5,0.0,dusuk/degisken,0.0,0.0,0.0
R04,Anadolu Hamidiye Tabyası,gec_donem_tabya,449235.0,4443315.0,0.0,0.0,-2.01,4.15,0.4486,1.0,0.9995,0.4829,0.3346,0.4346,0.5,0.0,yuksek/degisken,0.0,0.0044,0.0044
RK1,Kilitbahir Kalesi,erken_kale_referansi,447195.0,4444215.0,0.0,0.0006,-20.97,3.73,0.1772,1.0,0.9996,0.3927,0.2535,0.3534,0.5003,0.0,dusuk/degisken,0.0002,0.0025,0.0023
R05,Değirmenburnu Tabyası,cok_evreli_tabya,446865.0,4445415.0,60.0,0.0006,-26.89,7.16,0.0924,0.9135,0.9994,0.3356,0.2107,0.302,0.457,0.0,dusuk/degisken,0.0004,0.0021,0.0017
R06,Ertuğrul Tabyası,gec_donem_tabya,430185.0,4433175.0,0.0,0.3234,21.99,1.55,0.7921,1.0,0.9974,0.7052,0.5993,0.667,0.6617,1.0,yuksek/kararli,0.2216,0.4734,0.2518
R07,Çamburnu Kakavan Tabyası,gec_donem_tabya,446325.0,4446345.0,0.0,0.0044,72.95,9.61,1.0,0.8155,0.9924,0.6067,0.4653,0.5464,0.41,0.5,yuksek/degisken,0.0044,0.0044,0.0
RK2,Seddülbahir Kalesi,17yy_kale,430785.0,4432845.0,0.0,0.3283,9.13,6.45,0.608,0.9419,0.9983,0.6261,0.5349,0.5963,0.6351,0.75,yuksek/kararli,0.3208,0.3369,0.0161
RK3,Bigalı Kalesi,19yy_kale,447915.0,4451595.0,0.0,0.0024,-15.5,2.34,0.2555,1.0,0.9992,0.4194,0.2779,0.3776,0.5012,0.0,dusuk/degisken,0.0023,0.0025,0.0002
RK4,Çamburnu Kalesi,19yy_kale,446145.0,4446915.0,0.0,0.0042,-25.04,2.88,0.1189,1.0,0.9995,0.3744,0.2378,0.3374,0.5021,0.0,dusuk/degisken,0.0041,0.0042,0.0001
