nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2
K353742,0.0171,60.72,12.67,gdal_viewshed,1.0,0.6932,0.5701,0.4472,0.5148,0.0171,0.5701,0.9807,0.6399
K209970,0.0,-6.3,23.06,gdal_viewshed,0.2968,0.2776,0.1915,0.1446,0.1723,0.0,0.1915,0.9231,0.3292
K77209,0.0628,-9.98,4.31,gdal_viewshed,0.242,1.0,0.435,0.304,0.3977,0.0628,0.435,1.0,0.4914
K329102,0.0,3.07,8.68,gdal_viewshed,0.4363,0.8528,0.4297,0.3014,0.3867,0.0,0.4297,0.969,0.4952
K246767,0.0,41.01,17.98,gdal_viewshed,1.0,0.4808,0.4936,0.3962,0.4442,0.0,0.4936,0.757,0.5476
K19970,0.0629,-3.99,1.69,gdal_viewshed,0.3312,1.0,0.4648,0.3308,0.4245,0.0629,0.4648,0.8931,0.4968
K97777,0.0496,13.04,2.9,gdal_viewshed,0.5847,1.0,0.5448,0.4002,0.4952,0.0496,0.5448,0.9954,0.5894
K311365,0.0,-21.47,1.61,gdal_viewshed,0.071,1.0,0.3571,0.2213,0.3213,0.0,0.3571,0.9914,0.4196
K187169,0.0,-59.46,19.56,gdal_viewshed,0.0,0.4176,0.1392,0.0835,0.1253,0.0,0.1392,1.0,0.2835
K83175,0.0015,10.42,1.58,gdal_viewshed,0.5457,1.0,0.5158,0.3645,0.4643,0.0015,0.5158,0.9879,0.5617
K149698,0.0314,-6.39,2.31,gdal_viewshed,0.2955,1.0,0.4424,0.3044,0.4012,0.0314,0.4424,0.9953,0.4971
K236175,0.0,-2.98,4.31,gdal_viewshed,0.3463,1.0,0.4488,0.3039,0.4039,0.0,0.4488,0.9929,0.5025
K312837,0.0,-19.27,0.75,gdal_viewshed,0.1038,1.0,0.368,0.2311,0.3311,0.0,0.368,0.9952,0.4302
K329907,0.0,-26.94,2.68,gdal_viewshed,0.0,1.0,0.3334,0.2,0.3,0.0,0.3334,0.9984,0.3997
K67483,0.0,31.32,7.64,gdal_viewshed,0.8568,0.8944,0.5838,0.4359,0.5254,0.0,0.5838,0.979,0.6317
K183513,0.0569,40.8,4.79,gdal_viewshed,0.998,1.0,0.685,0.5278,0.6222,0.0569,0.685,0.9781,0.7121
K76828,0.0,10.9,2.45,gdal_viewshed,0.5529,1.0,0.5177,0.3659,0.4659,0.0,0.5177,0.9668,0.5592
K143763,0.0628,1.83,1.32,gdal_viewshed,0.4179,1.0,0.4936,0.3568,0.4505,0.0628,0.4936,0.9774,0.5397
K221155,0.0814,13.27,4.31,gdal_viewshed,0.5882,1.0,0.5566,0.4172,0.509,0.0814,0.5566,1.0,0.6009
K290988,0.0,-33.98,18.76,gdal_viewshed,0.0,0.4496,0.1499,0.0899,0.1349,0.0,0.1499,0.9339,0.2767
K101553,0.0702,-20.77,5.62,gdal_viewshed,0.0814,0.9752,0.3757,0.2546,0.3451,0.0702,0.3757,0.5,0.3405
K392304,0.036,4.44,9.18,gdal_viewshed,0.4567,0.8328,0.4419,0.3216,0.4012,0.036,0.4419,0.9602,0.5064
K373961,0.0,-2.87,0.92,gdal_viewshed,0.3479,1.0,0.4494,0.3044,0.4044,0.0,0.4494,0.9792,0.5002
K16990,0.0427,4.17,3.34,gdal_viewshed,0.4527,1.0,0.4985,0.3572,0.4529,0.0427,0.4985,0.7957,0.5078
K273839,0.0,-4.31,0.34,gdal_viewshed,0.3265,1.0,0.4422,0.298,0.3979,0.0,0.4422,0.9878,0.4955
K320099,0.0515,-1.83,22.64,gdal_viewshed,0.3634,0.2944,0.2364,0.1936,0.2179,0.0515,0.2364,0.9615,0.3757
K89934,0.0,-0.45,0.24,gdal_viewshed,0.3839,1.0,0.4614,0.3152,0.4152,0.0,0.4614,0.9619,0.5075
K11039,0.0427,-0.56,0.62,gdal_viewshed,0.3823,1.0,0.4751,0.336,0.4318,0.0427,0.4751,0.8047,0.4884
K168473,0.0133,-16.1,19.02,gdal_viewshed,0.1509,0.4392,0.2012,0.1398,0.1823,0.0133,0.2012,0.963,0.3297
K404751,0.1404,8.86,1.96,gdal_viewshed,0.5225,1.0,0.5543,0.427,0.5129,0.1404,0.5543,0.9615,0.5912
K279640,0.0,34.99,8.6,gdal_viewshed,0.9115,0.856,0.5892,0.4446,0.5302,0.0,0.5892,0.9674,0.6381
K299454,0.0,-14.42,21.43,gdal_viewshed,0.176,0.3428,0.173,0.1214,0.1556,0.0,0.173,0.9986,0.3211
K301037,0.0234,15.01,7.68,gdal_viewshed,0.6141,0.8928,0.5101,0.3745,0.4614,0.0234,0.5101,0.9562,0.5611
K297896,0.0,-24.94,24.19,gdal_viewshed,0.0194,0.2324,0.0839,0.0523,0.0755,0.0,0.0839,0.968,0.2459
K303364,0.0,46.58,11.4,gdal_viewshed,1.0,0.744,0.5813,0.4488,0.5232,0.0,0.5813,0.9396,0.6367
K151168,0.0728,-2.65,0.95,gdal_viewshed,0.3512,1.0,0.4747,0.3418,0.4345,0.0728,0.4747,1.0,0.5272
K24594,0.0,8.17,14.05,gdal_viewshed,0.5122,0.638,0.3834,0.2813,0.3451,0.0,0.3834,0.668,0.4149
K369774,0.0021,-8.2,1.83,gdal_viewshed,0.2685,1.0,0.4236,0.2816,0.3814,0.0021,0.4236,0.9969,0.4806
K77534,0.0568,-8.71,1.99,gdal_viewshed,0.261,1.0,0.4393,0.3067,0.401,0.0568,0.4393,1.0,0.4953
K420196,0.0922,-1.84,8.91,gdal_viewshed,0.3632,0.8436,0.433,0.3238,0.3989,0.0922,0.433,0.9559,0.4965
K297240,0.0621,6.02,4.77,gdal_viewshed,0.4802,1.0,0.5141,0.3751,0.4689,0.0621,0.5141,0.9888,0.5604
K94966,0.0,-3.74,1.74,gdal_viewshed,0.3349,1.0,0.445,0.3005,0.4005,0.0,0.445,0.9626,0.493
K268645,0.0,-7.67,3.5,gdal_viewshed,0.2764,1.0,0.4255,0.2829,0.3829,0.0,0.4255,0.8889,0.4607
K149112,0.0277,21.25,4.32,gdal_viewshed,0.7069,1.0,0.5782,0.4259,0.5232,0.0277,0.5782,0.9578,0.6119
K228880,0.033,14.04,3.19,gdal_viewshed,0.5996,1.0,0.5442,0.3964,0.4931,0.033,0.5442,0.9803,0.5858
K102240,0.0,2.74,1.88,gdal_viewshed,0.4314,1.0,0.4772,0.3294,0.4294,0.0,0.4772,0.9831,0.526
K21211,0.0594,-0.87,1.7,gdal_viewshed,0.3777,1.0,0.4791,0.343,0.4371,0.0594,0.4791,0.8744,0.506
K77456,0.0,11.69,3.04,gdal_viewshed,0.5646,1.0,0.5216,0.3694,0.4694,0.0,0.5216,0.9769,0.5648
B001,0.0,-55.32,12.53,gdal_viewshed,0.0,0.6988,0.233,0.1398,0.2096,0.0,0.233,0.7843,0.2966
B002,0.0,-4.14,1.75,gdal_viewshed,0.329,1.0,0.4431,0.2987,0.3987,0.0,0.4431,0.9901,0.4967
B003,0.1469,12.13,1.39,gdal_viewshed,0.5712,1.0,0.5727,0.4448,0.5301,0.1469,0.5727,0.9866,0.6128
