nok_id,tur,x,y,fV,R,egim,fE,yontem,yaka,fR,fS
A001,kontrol_adayi,449625.0,4449795.0,0.0043,-1.82,1.17,0.9997,gdal_viewshed,Anadolu,0.3563,1.0
A002,kontrol_adayi,450135.0,4450035.0,0.0043,11.73,10.59,0.9993,gdal_viewshed,Anadolu,0.5607,0.7764
A003,kontrol_adayi,450195.0,4450065.0,0.0043,20.4,12.48,1.0,gdal_viewshed,Anadolu,0.6915,0.7008
A004,kontrol_adayi,450135.0,4450065.0,0.0043,11.69,10.37,1.0,gdal_viewshed,Anadolu,0.5601,0.7852
A005,kontrol_adayi,449625.0,4449645.0,0.0043,-0.33,0.77,0.9992,gdal_viewshed,Anadolu,0.3788,1.0
A006,kontrol_adayi,449895.0,4449855.0,0.0043,-0.66,0.94,0.9995,gdal_viewshed,Anadolu,0.3738,1.0
A007,kontrol_adayi,450075.0,4450035.0,0.0043,2.96,6.38,0.9996,gdal_viewshed,Anadolu,0.4284,0.9448
A008,kontrol_adayi,450105.0,4449735.0,0.0044,18.4,13.01,0.998,gdal_viewshed,Anadolu,0.6613,0.6796
A009,kontrol_adayi,449295.0,4449705.0,0.0043,-0.45,0.72,1.0,gdal_viewshed,Anadolu,0.377,1.0
A010,kontrol_adayi,449385.0,4449645.0,0.0043,-2.48,3.74,0.9997,gdal_viewshed,Anadolu,0.3463,1.0
A011,kontrol_adayi,449775.0,4449855.0,0.0043,-1.63,1.04,0.9997,gdal_viewshed,Anadolu,0.3592,1.0
A012,kontrol_adayi,449895.0,4449645.0,0.0043,-1.12,0.41,0.9986,gdal_viewshed,Anadolu,0.3669,1.0
A013,kontrol_adayi,449535.0,4449585.0,0.0043,-2.65,1.93,0.9995,gdal_viewshed,Anadolu,0.3438,1.0
A014,kontrol_adayi,449715.0,4449345.0,0.0044,-4.41,4.7,0.9997,gdal_viewshed,Anadolu,0.3172,1.0
A015,kontrol_adayi,449955.0,4449945.0,0.0043,-0.26,3.67,0.9997,gdal_viewshed,Anadolu,0.3798,1.0
A016,kontrol_adayi,449535.0,4449705.0,0.0043,-1.42,0.86,0.9997,gdal_viewshed,Anadolu,0.3623,1.0
