nok_id,fV,R,egim,yontem,fR,fS
K353742,0.0171,60.72,12.67,gdal_viewshed,1.0,0.6932
K209970,0.0,-6.3,23.06,gdal_viewshed,0.2968,0.2776
K77209,0.0628,-9.98,4.31,gdal_viewshed,0.242,1.0
K329102,0.0,3.07,8.68,gdal_viewshed,0.4363,0.8528
K246767,0.0,41.01,17.98,gdal_viewshed,1.0,0.4808
K19970,0.0629,-3.99,1.69,gdal_viewshed,0.3312,1.0
K97777,0.0496,13.04,2.9,gdal_viewshed,0.5847,1.0
K311365,0.0,-21.47,1.61,gdal_viewshed,0.071,1.0
K187169,0.0,-59.46,19.56,gdal_viewshed,0.0,0.4176
K83175,0.0015,10.42,1.58,gdal_viewshed,0.5457,1.0
K149698,0.0314,-6.39,2.31,gdal_viewshed,0.2955,1.0
K236175,0.0,-2.98,4.31,gdal_viewshed,0.3463,1.0
K312837,0.0,-19.27,0.75,gdal_viewshed,0.1038,1.0
K329907,0.0,-26.94,2.68,gdal_viewshed,0.0,1.0
K67483,0.0,31.32,7.64,gdal_viewshed,0.8568,0.8944
K183513,0.0569,40.8,4.79,gdal_viewshed,0.998,1.0
K76828,0.0,10.9,2.45,gdal_viewshed,0.5529,1.0
K143763,0.0628,1.83,1.32,gdal_viewshed,0.4179,1.0
K221155,0.0814,13.27,4.31,gdal_viewshed,0.5882,1.0
K290988,0.0,-33.98,18.76,gdal_viewshed,0.0,0.4496
K101553,0.0702,-20.77,5.62,gdal_viewshed,0.0814,0.9752
K392304,0.036,4.44,9.18,gdal_viewshed,0.4567,0.8328
K373961,0.0,-2.87,0.92,gdal_viewshed,0.3479,1.0
K16990,0.0427,4.17,3.34,gdal_viewshed,0.4527,1.0
K273839,0.0,-4.31,0.34,gdal_viewshed,0.3265,1.0
K320099,0.0515,-1.83,22.64,gdal_viewshed,0.3634,0.2944
K89934,0.0,-0.45,0.24,gdal_viewshed,0.3839,1.0
K11039,0.0427,-0.56,0.62,gdal_viewshed,0.3823,1.0
K168473,0.0133,-16.1,19.02,gdal_viewshed,0.1509,0.4392
K404751,0.1404,8.86,1.96,gdal_viewshed,0.5225,1.0
K279640,0.0,34.99,8.6,gdal_viewshed,0.9115,0.856
K299454,0.0,-14.42,21.43,gdal_viewshed,0.176,0.3428
K301037,0.0234,15.01,7.68,gdal_viewshed,0.6141,0.8928
K297896,0.0,-24.94,24.19,gdal_viewshed,0.0194,0.2324
K303364,0.0,46.58,11.4,gdal_viewshed,1.0,0.744
K151168,0.0728,-2.65,0.95,gdal_viewshed,0.3512,1.0
K24594,0.0,8.17,14.05,gdal_viewshed,0.5122,0.638
K369774,0.0021,-8.2,1.83,gdal_viewshed,0.2685,1.0
K77534,0.0568,-8.71,1.99,gdal_viewshed,0.261,1.0
