nok_id,tur,x,y,fV,R,egim,fE,yontem,yaka,fR,fS
B001,kontrol_adayi,503265.0,4499205.0,0.0,-55.32,12.53,0.9537,gdal_viewshed,Avrupa,0.0,0.6988
B002,kontrol_adayi,496695.0,4489815.0,0.0,-4.14,1.75,0.9945,gdal_viewshed,Avrupa,0.329,1.0
B003,kontrol_adayi,434085.0,4434975.0,0.1469,12.13,1.39,0.9938,gdal_viewshed,Avrupa,0.5712,1.0
B004,kontrol_adayi,429495.0,4434495.0,0.3338,22.43,1.17,0.999,gdal_viewshed,Avrupa,0.7245,1.0
B005,kontrol_adayi,444945.0,4465185.0,0.0,-2.9,0.73,0.9764,gdal_viewshed,Avrupa,0.3474,1.0
B006,kontrol_adayi,487845.0,4500345.0,0.0396,-6.23,1.19,0.9905,gdal_viewshed,Avrupa,0.2979,1.0
B007,kontrol_adayi,488985.0,4486095.0,0.0,-5.78,5.67,0.9952,gdal_viewshed,Avrupa,0.3046,0.9732
B008,kontrol_adayi,462555.0,4463265.0,0.0,1.13,4.46,0.9907,gdal_viewshed,Avrupa,0.4074,1.0
B009,kontrol_adayi,457185.0,4476765.0,0.0,57.02,23.17,0.9794,gdal_viewshed,Avrupa,1.0,0.2732
B010,kontrol_adayi,487245.0,4492005.0,0.0817,13.85,3.1,0.9935,gdal_viewshed,Avrupa,0.5968,1.0
B011,kontrol_adayi,480015.0,4482855.0,0.0752,7.08,3.6,0.9938,gdal_viewshed,Avrupa,0.496,1.0
B012,kontrol_adayi,472725.0,4476105.0,0.0681,-3.47,0.94,0.9925,gdal_viewshed,Avrupa,0.339,1.0
B013,kontrol_adayi,433215.0,4438815.0,0.2084,7.69,4.02,0.9901,gdal_viewshed,Avrupa,0.5051,1.0
B014,kontrol_adayi,463185.0,4464615.0,0.0,-5.01,4.7,0.99,gdal_viewshed,Avrupa,0.316,1.0
B015,kontrol_adayi,445155.0,4444935.0,0.0,21.03,11.17,0.9815,gdal_viewshed,Avrupa,0.7037,0.7532
B016,kontrol_adayi,494655.0,4503735.0,0.0298,1.68,2.45,0.9447,gdal_viewshed,Avrupa,0.4156,1.0
B017,kontrol_adayi,501225.0,4493415.0,0.0,4.44,4.09,0.9902,gdal_viewshed,Avrupa,0.4567,1.0
B018,kontrol_adayi,431535.0,4436745.0,0.2171,8.87,4.33,0.9927,gdal_viewshed,Avrupa,0.5227,1.0
B019,kontrol_adayi,473535.0,4478385.0,0.0354,26.48,8.46,0.9941,gdal_viewshed,Avrupa,0.7848,0.8616
B020,kontrol_adayi,498195.0,4490445.0,0.0,-2.42,2.78,0.994,gdal_viewshed,Avrupa,0.3546,1.0
B021,kontrol_adayi,471915.0,4473915.0,0.0102,8.01,2.98,0.9943,gdal_viewshed,Avrupa,0.5099,1.0
