nok_id,M1_esit,OWA_OR,OWA_notr,OWA_AND
K353742,0.5701,1.0,0.5701,0.0171
K209970,0.1915,0.2968,0.1915,0.0
K77209,0.435,1.0,0.4349,0.0628
K329102,0.4297,0.8528,0.4297,0.0
K246767,0.4936,1.0,0.4936,0.0
K19970,0.4648,1.0,0.4647,0.0629
K97777,0.5448,1.0,0.5448,0.0496
K311365,0.3571,1.0,0.357,0.0
K187169,0.1392,0.4176,0.1392,0.0
K83175,0.5158,1.0,0.5157,0.0015
K149698,0.4424,1.0,0.4423,0.0314
K236175,0.4488,1.0,0.4488,0.0
K312837,0.368,1.0,0.3679,0.0
K329907,0.3334,1.0,0.3333,0.0
K67483,0.5838,0.8944,0.5837,0.0
K183513,0.685,1.0,0.685,0.0569
K76828,0.5177,1.0,0.5176,0.0
K143763,0.4936,1.0,0.4936,0.0628
K221155,0.5566,1.0,0.5565,0.0814
K290988,0.1499,0.4496,0.1499,0.0
K101553,0.3757,0.9752,0.3756,0.0702
K392304,0.4419,0.8328,0.4418,0.036
K373961,0.4494,1.0,0.4493,0.0
K16990,0.4985,1.0,0.4985,0.0427
K273839,0.4422,1.0,0.4422,0.0
K320099,0.2364,0.3634,0.2364,0.0515
K89934,0.4614,1.0,0.4613,0.0
K11039,0.4751,1.0,0.475,0.0427
K168473,0.2012,0.4392,0.2011,0.0133
K404751,0.5543,1.0,0.5543,0.1404
K279640,0.5892,0.9115,0.5892,0.0
K299454,0.173,0.3428,0.1729,0.0
K301037,0.5101,0.8928,0.5101,0.0234
K297896,0.0839,0.2324,0.0839,0.0
K303364,0.5813,1.0,0.5813,0.0
K151168,0.4747,1.0,0.4747,0.0728
K24594,0.3834,0.638,0.3834,0.0
K369774,0.4236,1.0,0.4235,0.0021
K77534,0.4393,1.0,0.4393,0.0568
K420196,0.433,0.8436,0.433,0.0922
K297240,0.5141,1.0,0.5141,0.0621
K94966,0.445,1.0,0.445,0.0
K268645,0.4255,1.0,0.4255,0.0
K149112,0.5782,1.0,0.5782,0.0277
K228880,0.5442,1.0,0.5442,0.033
K102240,0.4772,1.0,0.4771,0.0
K21211,0.4791,1.0,0.479,0.0594
K77456,0.5216,1.0,0.5215,0.0
B001,0.233,0.6988,0.2329,0.0
B002,0.4431,1.0,0.443,0.0
B003,0.5727,1.0,0.5727,0.1469
B004,0.6861,1.0,0.6861,0.3338
B005,0.4492,1.0,0.4491,0.0
B006,0.4459,1.0,0.4458,0.0396
B007,0.426,0.9732,0.4259,0.0
B008,0.4692,1.0,0.4691,0.0
B009,0.4244,1.0,0.4244,0.0
B010,0.5595,1.0,0.5595,0.0817
B011,0.5238,1.0,0.5237,0.0752
B012,0.4691,1.0,0.469,0.0681
B013,0.5712,1.0,0.5712,0.2084
B014,0.4387,1.0,0.4387,0.0
B015,0.4857,0.7532,0.4856,0.0
B016,0.4819,1.0,0.4818,0.0298
B017,0.4856,1.0,0.4856,0.0
B018,0.58,1.0,0.5799,0.2171
B019,0.5606,0.8616,0.5606,0.0354
B020,0.4516,1.0,0.4515,0.0
B021,0.5067,1.0,0.5067,0.0102
B022,0.4172,1.0,0.4171,0.0
B023,0.3933,0.8988,0.3932,0.0
B024,0.433,1.0,0.4329,0.0045
B025,0.4218,0.9084,0.4217,0.0073
B026,0.3702,0.8448,0.3701,0.0
B027,0.2817,0.5824,0.2817,0.0
B028,0.4611,1.0,0.461,0.0725
B029,0.5077,1.0,0.5077,0.0524
B030,0.3916,0.8,0.3916,0.0
B031,0.5727,1.0,0.5726,0.0559
B032,0.3639,0.682,0.3638,0.1258
B033,0.5053,1.0,0.5053,0.1085
B034,0.4691,0.8136,0.469,0.0458
B035,0.2871,0.3562,0.2871,0.22
B036,0.4978,0.976,0.4978,0.0
B037,0.4265,1.0,0.4265,0.0
B038,0.4887,1.0,0.4887,0.0706
B039,0.4493,1.0,0.4492,0.0
B040,0.3086,0.8324,0.3085,0.0
B041,0.4284,1.0,0.4284,0.0
B042,0.2103,0.3832,0.2103,0.0
B043,0.4934,1.0,0.4933,0.1055
B044,0.4354,0.8504,0.4354,0.0649
B045,0.5323,1.0,0.5323,0.0
B046,0.6337,0.9676,0.6337,0.0
B047,0.4142,0.98,0.4141,0.0
B048,0.3901,0.8464,0.3901,0.0
A010,0.4527,1.0,0.4527,0.0043
A005,0.4634,1.0,0.4633,0.0043
A006,0.4618,1.0,0.4617,0.0043
A002,0.4487,0.7764,0.4486,0.0043
T01,0.3734,1.0,0.3733,0.0
T03,0.4022,1.0,0.4021,0.0
T04,0.4836,1.0,0.4835,0.0006
T05,0.769,1.0,0.769,0.4168
T07,0.6318,1.0,0.6318,0.3417
T08,0.403,0.931,0.4029,0.0025
T09,0.5106,1.0,0.5106,0.0044
T10,0.4852,1.0,0.4851,0.0043
