nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2,X,Y,taraf,shore_m,grup
B035,0.2852,-2.31,24.5,gdal_viewshed,0.3562,0.22,0.2871,0.2935,0.2869,0.2852,0.2871,1.0,0.4364,431865.0,4438335.0,Avrupa,84.8528137423857,kontrol_eslesmis
B026,0.2656,-37.64,8.88,gdal_viewshed,0.0,0.8448,0.3702,0.3018,0.3597,0.2656,0.3702,1.0,0.4486,432795.0,4439955.0,Avrupa,30.0,kontrol_eslesmis
K97777,0.0496,13.04,2.9,gdal_viewshed,0.5847,1.0,0.5448,0.4002,0.4952,0.0496,0.5448,0.9954,0.5894,483645.0,4489395.0,Avrupa,593.9696961966999,kontrol_eslesmis
K77534,0.0568,-8.71,1.99,gdal_viewshed,0.261,1.0,0.4393,0.3067,0.401,0.0568,0.4393,1.0,0.4953,486645.0,4492065.0,Avrupa,591.6924876994806,kontrol_eslesmis
B047,0.0,-8.62,5.5,gdal_viewshed,0.2623,0.98,0.4142,0.2747,0.3727,0.0,0.4142,1.0,0.4747,500295.0,4491405.0,Avrupa,295.4657340538831,kontrol_eslesmis
B048,0.0,-4.49,8.84,gdal_viewshed,0.3238,0.8464,0.3901,0.2664,0.3511,0.0,0.3901,1.0,0.4664,499875.0,4490685.0,Avrupa,120.0,kontrol_eslesmis
K221155,0.0814,13.27,4.31,gdal_viewshed,0.5882,1.0,0.5566,0.4172,0.509,0.0814,0.5566,1.0,0.6009,474255.0,4474665.0,Avrupa,127.27922061357854,kontrol_eslesmis
B024,0.0045,-6.47,0.19,gdal_viewshed,0.2943,1.0,0.433,0.2905,0.3901,0.0045,0.433,1.0,0.4896,476775.0,4486815.0,Avrupa,216.33307652783935,kontrol_eslesmis
B003,0.1469,12.13,1.39,gdal_viewshed,0.5712,1.0,0.5727,0.4448,0.5301,0.1469,0.5727,0.9866,0.6128,434085.0,4434975.0,Avrupa,466.6904755831213,kontrol_eslesmis
B046,0.0,36.46,5.81,gdal_viewshed,0.9334,0.9676,0.6337,0.4735,0.5703,0.0,0.6337,0.9823,0.67,450645.0,4453125.0,Avrupa,540.8326913195983,kontrol_eslesmis
K236175,0.0,-2.98,4.31,gdal_viewshed,0.3463,1.0,0.4488,0.3039,0.4039,0.0,0.4488,0.9929,0.5025,468885.0,4472535.0,Avrupa,569.2099788303083,kontrol_eslesmis
K353742,0.0171,60.72,12.67,gdal_viewshed,1.0,0.6932,0.5701,0.4472,0.5148,0.0171,0.5701,0.9807,0.6399,446055.0,4450995.0,Avrupa,349.85711369071805,kontrol_eslesmis
A010,0.0043,-2.48,3.74,gdal_viewshed,0.3537,1.0,0.4527,0.3083,0.4078,0.0043,0.4527,1.0,0.5074,449385.0,4449645.0,Anadolu,42.42640687119285,kontrol_eslesmis
A005,0.0043,-0.33,0.77,gdal_viewshed,0.3857,1.0,0.4634,0.3179,0.4174,0.0043,0.4634,1.0,0.517,449625.0,4449645.0,Anadolu,169.7056274847714,kontrol_eslesmis
A006,0.0043,-0.66,0.94,gdal_viewshed,0.3808,1.0,0.4618,0.3164,0.416,0.0043,0.4618,1.0,0.5155,449895.0,4449855.0,Anadolu,123.69316876852982,kontrol_eslesmis
A002,0.0043,11.73,10.59,gdal_viewshed,0.5652,0.7764,0.4487,0.327,0.4042,0.0043,0.4487,1.0,0.5261,450135.0,4450035.0,Anadolu,94.86832980505139,kontrol_eslesmis
