nok_id,U_esit,kararlilik,okuma_sinifi
K353742,0.5701,0.875,yuksek/kararli
K209970,0.1915,0.0,dusuk/degisken
K77209,0.435,0.125,dusuk/degisken
K329102,0.4297,0.0,dusuk/degisken
K246767,0.4936,0.125,yuksek/degisken
K19970,0.4648,0.125,yuksek/degisken
K97777,0.5448,0.875,yuksek/kararli
K311365,0.3571,0.0,dusuk/degisken
K187169,0.1392,0.0,dusuk/degisken
K83175,0.5158,0.0,yuksek/degisken
K149698,0.4424,0.0,dusuk/degisken
K236175,0.4488,0.0,dusuk/degisken
K312837,0.368,0.0,dusuk/degisken
K329907,0.3334,0.0,dusuk/degisken
K67483,0.5838,0.875,yuksek/kararli
K183513,0.685,0.875,yuksek/kararli
K76828,0.5177,0.0,yuksek/degisken
K143763,0.4936,0.125,yuksek/degisken
K221155,0.5566,1.0,yuksek/kararli
K290988,0.1499,0.0,dusuk/degisken
K101553,0.3757,0.0,dusuk/degisken
K392304,0.4419,0.0,dusuk/degisken
K373961,0.4494,0.0,dusuk/degisken
K16990,0.4985,0.0,yuksek/degisken
K273839,0.4422,0.0,dusuk/degisken
K320099,0.2364,0.0,dusuk/degisken
K89934,0.4614,0.0,yuksek/degisken
K11039,0.4751,0.0,yuksek/degisken
K168473,0.2012,0.0,dusuk/degisken
K404751,0.5543,1.0,yuksek/kararli
K279640,0.5892,0.875,yuksek/kararli
K299454,0.173,0.0,dusuk/degisken
K301037,0.5101,0.0,yuksek/degisken
K297896,0.0839,0.0,dusuk/degisken
K303364,0.5813,0.875,yuksek/kararli
K151168,0.4747,0.125,yuksek/degisken
K24594,0.3834,0.0,dusuk/degisken
K369774,0.4236,0.0,dusuk/degisken
K77534,0.4393,0.0,dusuk/degisken
K420196,0.433,0.0,dusuk/degisken
K297240,0.5141,0.125,yuksek/degisken
K94966,0.445,0.0,dusuk/degisken
K268645,0.4255,0.0,dusuk/degisken
K149112,0.5782,0.875,yuksek/kararli
K228880,0.5442,0.875,yuksek/kararli
K102240,0.4772,0.0,yuksek/degisken
K21211,0.4791,0.125,yuksek/degisken
K77456,0.5216,0.0,yuksek/degisken
B001,0.233,0.0,dusuk/degisken
B002,0.4431,0.0,dusuk/degisken
B003,0.5727,1.0,yuksek/kararli
B004,0.6861,1.0,yuksek/kararli
B005,0.4492,0.0,dusuk/degisken
B006,0.4459,0.0,dusuk/degisken
B007,0.426,0.0,dusuk/degisken
B008,0.4692,0.0,yuksek/degisken
B009,0.4244,0.0,dusuk/degisken
B010,0.5595,1.0,yuksek/kararli
B011,0.5238,0.875,yuksek/kararli
B012,0.4691,0.125,yuksek/degisken
B013,0.5712,1.0,yuksek/kararli
B014,0.4387,0.0,dusuk/degisken
B015,0.4857,0.0,yuksek/degisken
B016,0.4819,0.0,yuksek/degisken
B017,0.4856,0.0,yuksek/degisken
B018,0.58,1.0,yuksek/kararli
B019,0.5606,0.875,yuksek/kararli
B020,0.4516,0.0,dusuk/degisken
B021,0.5067,0.0,yuksek/degisken
B022,0.4172,0.0,dusuk/degisken
B023,0.3933,0.0,dusuk/degisken
B024,0.433,0.0,dusuk/degisken
B025,0.4218,0.0,dusuk/degisken
B026,0.3702,0.125,dusuk/degisken
B027,0.2817,0.0,dusuk/degisken
B028,0.4611,0.125,yuksek/degisken
B029,0.5077,0.0,yuksek/degisken
B030,0.3916,0.0,dusuk/degisken
B031,0.5727,0.875,yuksek/kararli
B032,0.3639,0.0,dusuk/degisken
B033,0.5053,0.125,yuksek/degisken
B034,0.4691,0.0,yuksek/degisken
B035,0.2871,0.0,dusuk/degisken
B036,0.4978,0.0,yuksek/degisken
B037,0.4265,0.0,dusuk/degisken
B038,0.4887,0.125,yuksek/degisken
B039,0.4493,0.0,dusuk/degisken
B040,0.3086,0.0,dusuk/degisken
B041,0.4284,0.0,dusuk/degisken
B042,0.2103,0.0,dusuk/degisken
B043,0.4934,0.125,yuksek/degisken
B044,0.4354,0.0,dusuk/degisken
B045,0.5323,0.875,yuksek/kararli
B046,0.6337,0.875,yuksek/kararli
B047,0.4142,0.0,dusuk/degisken
B048,0.3901,0.0,dusuk/degisken
A010,0.4527,0.0,yuksek/degisken
A005,0.4634,0.0,yuksek/degisken
A006,0.4618,0.0,yuksek/degisken
A002,0.4487,0.0,dusuk/degisken
